,precision,recall,f1-score,support
T-shirt/top,0.8513089005235602,0.813,0.8317135549872122,1000.0
Trouser,0.9867751780264497,0.97,0.978315683308119,1000.0
Pullover,0.869198312236287,0.824,0.8459958932238193,1000.0
Dress,0.8572834645669292,0.871,0.8640873015873016,1000.0
Coat,0.8438914027149321,0.746,0.7919320594479831,1000.0
Sandal,0.9604863221884499,0.948,0.9542023150478107,1000.0
Shirt,0.6199505358615004,0.752,0.6796204247627655,1000.0
Sneaker,0.9182692307692307,0.955,0.9362745098039216,1000.0
Bag,0.9769769769769769,0.976,0.976488244122061,1000.0
Ankle boot,0.9661538461538461,0.942,0.9539240506329114,1000.0
accuracy,0.8797,0.8797,0.8797,0.8797
macro avg,0.8850294170018163,0.8796999999999999,0.8812554036923906,10000.0
weighted avg,0.8850294170018161,0.8797,0.8812554036923904,10000.0
