epoch,loss,train_accuracy,val_accuracy
1,0.8391498608721627,0.8412909090909091,0.8514
2,0.44328070211189763,0.8610727272727273,0.867
3,0.3931912219634763,0.8704727272727273,0.8726
4,0.3667769407232602,0.8757272727272727,0.8794
5,0.3506587575431223,0.8788,0.8798
6,0.33941476654123376,0.8802,0.8826
7,0.3298018643701518,0.8837090909090909,0.8846
8,0.32237156728903454,0.8862181818181818,0.887
9,0.31804248718199907,0.8877454545454545,0.8924
10,0.3114017984933323,0.8896,0.8908
11,0.30805572494864464,0.8886909090909091,0.894
12,0.3042860980387087,0.8920181818181818,0.8908
