threshold,precision,recall,f1
0.1,0.2275,1.0,0.37067209775967414
0.11,0.2275,1.0,0.37067209775967414
0.12,0.2275,1.0,0.37067209775967414
0.13,0.2275,1.0,0.37067209775967414
0.14,0.2275,1.0,0.37067209775967414
0.15,0.2275,1.0,0.37067209775967414
0.16,0.2275,1.0,0.37067209775967414
0.17,0.2275,1.0,0.37067209775967414
0.18,0.2275,1.0,0.37067209775967414
0.19,0.2275,1.0,0.37067209775967414
0.2,0.2275,1.0,0.37067209775967414
0.21,0.2275,1.0,0.37067209775967414
0.22,0.2275,1.0,0.37067209775967414
0.23,0.2275,1.0,0.37067209775967414
0.24,0.2275,1.0,0.37067209775967414
0.25,0.2275,1.0,0.37067209775967414
0.26,0.22768974145120935,1.0,0.37092391304347827
0.27,0.22807017543859648,1.0,0.37142857142857144
0.28,0.228643216080402,1.0,0.3721881390593047
0.29,0.22895622895622897,0.9963369963369964,0.3723477070499658
0.3,0.22966101694915253,0.9926739926739927,0.37302133516861663
0.31,0.2309688581314879,0.978021978021978,0.3736878936319104
0.32,0.2329246935201401,0.9743589743589743,0.3759717314487632
0.33,0.23608617594254938,0.9633699633699634,0.37923576063446285
0.34,0.2397003745318352,0.9377289377289377,0.38180462341536164
0.35,0.2437137330754352,0.9230769230769231,0.3856159143075746
0.36,0.24426719840478564,0.8974358974358975,0.384012539184953
0.37,0.2459016393442623,0.8791208791208791,0.3843074459567654
0.38,0.25403659849300325,0.8644688644688645,0.39267886855241263
0.39,0.2575928008998875,0.8388278388278388,0.39414802065404475
0.4,0.25995316159250587,0.8131868131868132,0.3939662821650399
0.41,0.2636138613861386,0.7802197802197802,0.3940795559666975
0.42,0.2679738562091503,0.7509157509157509,0.394990366088632
0.43,0.26832641770401106,0.7106227106227107,0.3895582329317269
0.44,0.27669172932330827,0.673992673992674,0.39232409381663114
0.45,0.2875816993464052,0.6446886446886447,0.3977401129943503
0.46,0.2938053097345133,0.608058608058608,0.39618138424821003
0.47,0.30710172744721687,0.5860805860805861,0.40302267002518893
0.48,0.305327868852459,0.5457875457875457,0.3915900131406045
0.49,0.31359649122807015,0.5238095238095238,0.39231824417009603
0.5,0.31880733944954126,0.5091575091575091,0.3921015514809591
0.51,0.3171912832929782,0.47985347985347987,0.3819241982507289
0.52,0.31909547738693467,0.4652014652014652,0.37853949329359166
0.53,0.3190348525469169,0.4358974358974359,0.3684210526315789
0.54,0.3190883190883191,0.41025641025641024,0.358974358974359
0.55,0.3238993710691824,0.3772893772893773,0.34856175972927245
0.56,0.33454545454545453,0.336996336996337,0.3357664233576642
0.57,0.3263598326359833,0.2857142857142857,0.3046875
0.58,0.3217821782178218,0.23809523809523808,0.2736842105263158
0.59,0.33112582781456956,0.18315018315018314,0.2358490566037736
0.6,0.3584905660377358,0.1391941391941392,0.20052770448548812
0.61,0.34210526315789475,0.09523809523809523,0.1489971346704871
0.62,0.32142857142857145,0.06593406593406594,0.1094224924012158
0.63,0.3157894736842105,0.04395604395604396,0.07717041800643087
0.64,0.25,0.02197802197802198,0.04040404040404041
0.65,0.21428571428571427,0.01098901098901099,0.020905923344947737
0.66,0.2222222222222222,0.007326007326007326,0.014184397163120567
0.67,1.0,0.007326007326007326,0.014545454545454545
0.68,1.0,0.003663003663003663,0.0072992700729927005
0.69,0.0,0.0,0.0
0.7,0.0,0.0,0.0
0.71,0.0,0.0,0.0
0.72,0.0,0.0,0.0
0.73,0.0,0.0,0.0
0.74,0.0,0.0,0.0
0.75,0.0,0.0,0.0
0.76,0.0,0.0,0.0
0.77,0.0,0.0,0.0
0.78,0.0,0.0,0.0
0.79,0.0,0.0,0.0
0.8,0.0,0.0,0.0
0.81,0.0,0.0,0.0
0.82,0.0,0.0,0.0
0.83,0.0,0.0,0.0
0.84,0.0,0.0,0.0
0.85,0.0,0.0,0.0
0.86,0.0,0.0,0.0
0.87,0.0,0.0,0.0
0.88,0.0,0.0,0.0
0.89,0.0,0.0,0.0
0.9,0.0,0.0,0.0
